x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AF2003;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
Mcs-exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
50-hp;;;;;;;;;;;;;;;
60-hp;;;;;;;;;;;;;;;
COURSE_HS1724;80-hp;;;;;;;;;;;;;;
COURSE_HS1702;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
COURSE_HF1900;COURSE_HS1000;COURSE_AF1710;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
COURSE_HS1000;COURSE_AF1710;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
120-hp;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AF1722;COURSE_AF1730;COURSE_AF1740;COURSE_AF272V;120-hp;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
2-års;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AF1717;COURSE_AF1710;COURSE_AF1722;COURSE_AF1742;120-hp;;;;;;;;;;;
